user_tableID,user_num,_class,affiliation,tel,user_name,suspensionID,
1,T274235,学生,情報応用工学科,090-5071-6415,豊田 理央,1,
2,T839642,学生,情報応用工学科,080-7678-2843,杉谷 義夫,1,
3,T927346,教員専任,広瀬研究室,090-7512-4895,日下部 彩乃,1,
4,T193023,教員特任,広瀬研究室,090-0386-7796,柳沢 講一,1,
5,T391034,学生,機械電気工学科,080-8227-6887,森岡 敬一,1,
6,T103827,教員専任,広瀬研究室,090-0814-2504,大城 栄伸,6,
7,T289374,学生,機械電気工学科,090-4209-5957,吉山 彩芽,1,
8,T857764,学生,情報応用工学科,080-9708-8859,勝田 悦哉,1,
9,T294833,教員非常勤,広瀬研究室,080-1992-3712,上坂 緑,1,
10,T103847,職員臨時,教務学生支援課,080-3241-3464,北村 英夫,1,
11,T957231,職員嘱託,教務学生支援課,090-0023-3245,河口 勝巳,1,
12,T974382,学生,機械電気工学科,080-6295-8500,菅野 仁明,1,
13,T746590,学生,情報応用工学科,080-2252-4747,竹島 治夫,13,
14,T198372,職員専任,教務学生支援課,090-0117-3033,水口 遥香,1,
15,T829469,学生,情報応用工学科,090-8439-2932,大東 梢,1,
16,T108372,教員専任,広瀬研究室,090-8181-3642,宮崎 重信,1,
17,T539457,学生,機械電気工学科,080-9995-8410,安達 祐司,1,
18,E000001,学外,,080-0664-3144,岩川 心,1,
19,T488290,学生,機械電気工学科,080-8834-8142,百瀬 英世,1,
20,T100384,学生,機械電気工学科,090-5842-1470,仁科 美幸,2,
